#{"t_start": 1590692262.788145, "env_id": "zhedLevel6-v0"}
r,l,t
-1030,8,0.71259
-1100,15,0.720585
-990,6,0.723585
-980,5,0.726582
-1030,8,0.730579
-1020,7,0.734577
-1250,28,0.749569
-1060,11,0.755565
-1030,6,0.758564
-1050,12,0.765559
-1010,6,0.768558
-1090,12,0.775554
-980,5,0.965444
-1010,6,0.968443
-1090,10,0.973439
-1060,11,0.980435
-1050,10,0.985433
-1030,8,0.99043
-1040,9,0.995427
-1040,7,0.999425
-1020,7,1.004422
-1030,8,1.00842
-1040,9,1.014416
-1060,11,1.020412
-1020,7,1.02441
-1010,6,1.027409
-1000,7,1.032405
-1010,6,1.035405
-1040,9,1.098368
-1080,13,1.106363
-1040,7,1.110361
-1030,8,1.114359
-1040,7,1.117357
-1020,7,1.122355
-1040,7,1.126351
-1010,6,1.129349
-1070,12,1.136345
-970,4,1.139344
-1000,5,1.142342
-1040,7,1.14634
-1050,8,1.151337
-1130,20,1.16333
-1010,6,1.167328
-1040,9,1.226294
-1020,5,1.229292
-1210,22,1.241286
-1040,7,1.245283
-1050,10,1.25128
-1080,15,1.260274
-1080,13,1.26827
-1090,12,1.275266
-980,5,1.278264
-1090,14,1.287259
-1030,6,1.290257
-1030,6,1.293255
-1020,7,1.298253
-1020,7,1.35622
-1110,16,1.365214
-1060,9,1.370211
-1040,9,1.376208
-1020,5,1.378207
-1150,18,1.387201
-990,6,1.391199
-1020,5,1.395197
-1070,10,1.400194
-1040,9,1.405191
-1000,5,1.40819
-1090,12,1.414186
-1030,8,1.419183
-1020,5,1.422181
-1020,5,1.42518
-1080,11,1.485145
-990,4,1.488144
-1030,6,1.491142
-1000,5,1.49414
-1100,13,1.502135
-1080,11,1.509131
-1050,10,1.516127
-1070,12,1.523124
-1130,18,1.532119
-1050,6,1.536116
-1020,5,1.539114
-1000,5,1.542112
-1040,9,1.549109
-1080,13,1.557104
-1020,7,1.618069
-1060,9,1.622066
-980,5,1.626064
-1010,8,1.630062
-1040,7,1.635059
-1030,6,1.639057
-1030,6,1.642056
-1000,5,1.646053
-1100,11,1.65105
-1020,7,1.656047
-1040,7,1.660045
-1180,21,1.674037
-1040,9,1.680033
-990,4,1.683031
-1110,16,1.692026
-1090,16,1.756989
-1060,9,1.760987
-1040,7,1.764984
-1010,6,1.767982
-1030,6,1.770981
-1010,6,1.775978
-1050,12,1.782974
-1080,9,1.787971
-1000,5,1.790969
-1260,29,1.809958
-1030,6,1.812957
-1040,9,1.818953
-1060,11,1.825949
-1010,6,1.880917
-1050,8,1.885915
-1000,7,1.890912
-1130,16,1.898907
-1010,4,1.900906
-1010,6,1.903904
-980,5,1.907902
-1080,11,1.912899
-1050,8,1.917896
-1030,8,1.922893
-1050,10,1.929889
-1070,10,1.935886
-1040,7,1.940883
-1020,5,1.942882
-1090,10,1.949878
-1010,6,1.953876
-1030,8,2.010843
-1010,4,2.012841
-990,4,2.01584
-1110,16,2.024835
-1000,5,2.027833
-1030,6,2.031831
-1140,15,2.038826
-1040,7,2.043823
-1040,11,2.051819
-1040,7,2.054817
-1080,11,2.061813
-1030,4,2.063812
-1060,11,2.069809
-1020,7,2.073806
-1000,5,2.076804
-1010,6,2.080802
-1000,5,2.135771
-1090,12,2.141767
-1100,15,2.152761
-1010,4,2.155759
-1030,8,2.160756
-1010,6,2.163755
-990,4,2.166753
-1050,10,2.173749
-1050,10,2.180745
-1030,6,2.185742
-1060,11,2.191739
-1030,8,2.196736
-1030,6,2.200733
-1060,9,2.204731
-1050,8,2.209729
-1020,5,2.212727
-1030,8,2.269693
-1000,5,2.272691
-990,4,2.274691
-1020,7,2.279687
-1020,9,2.285684
-1010,6,2.288682
-1030,6,2.29368
-1060,9,2.297678
-1060,9,2.302674
-1040,9,2.308671
-1100,15,2.317666
-990,6,2.321663
-1030,10,2.32766
-1020,7,2.331658
-990,6,2.335655
-1030,4,2.337654
-1030,10,2.343652
-1030,8,2.400618
-1010,4,2.402617
-990,4,2.405615
-1030,6,2.408613
-1000,5,2.411612
-1030,6,2.41461
-1050,12,2.422606
-990,4,2.425604
-1050,12,2.434599
-990,4,2.437597
-1050,10,2.442594
-1170,20,2.453588
-1040,9,2.459584
-1050,6,2.463582
-1010,4,2.465581
-1010,6,2.468579
-1050,8,2.474576
-1000,5,2.529544
-1080,11,2.534541
-1000,5,2.537539
-990,4,2.540537
-1020,5,2.542536
-1050,12,2.550532
-1090,12,2.557528
-1120,13,2.564524
-1030,8,2.569521
-1020,5,2.572519
-1030,6,2.576517
-1020,9,2.582513
-1010,8,2.58751
-1040,9,2.591508
-1020,5,2.594507
-1030,8,2.599504
-980,5,2.655472
-990,6,2.659469
-1040,7,2.664467
-1050,10,2.670463
-1220,25,2.684455
-990,6,2.689452
-1080,9,2.695449
-1110,14,2.702444
-1070,12,2.709441
-1100,15,2.718435
-980,5,2.721434
-1150,22,2.786397
-1080,15,2.79739
-1040,7,2.801388
-1000,5,2.805386
-1060,7,2.808384
-1070,8,2.813381
-980,5,2.816379
-990,6,2.820377
-1060,9,2.825374
-1090,10,2.83237
-1050,10,2.839366
-1040,9,2.845362
-1090,10,2.851359
-1130,16,2.860354
-1020,7,2.864351
-1050,12,2.925316
-1070,12,2.932312
-1030,6,2.93631
-1040,7,2.940308
-1010,6,2.943306
-1010,6,2.947304
-1000,7,2.951302
-1050,8,2.956299
-1020,5,2.959297
-970,4,2.961295
