#{"t_start": 1590684110.992594, "env_id": "zhedLevel5-v0"}
r,l,t
-1040,7,0.729581
-990,4,0.731579
-1010,4,0.733578
-1030,10,0.738575
-1030,6,0.742573
-1050,8,0.74657
-1060,11,0.752567
-1070,12,0.758564
-1000,7,0.762561
-1080,13,0.769557
-1020,5,0.771556
-970,4,0.774554
-1030,8,0.778552
-1010,8,0.78355
-980,5,0.785548
-1050,10,0.790545
-1010,8,0.980436
-1080,13,0.987432
-1050,8,0.99143
-1010,8,0.996427
-1040,7,1.000424
-1110,16,1.00942
-990,6,1.012417
-990,4,1.014416
-1010,4,1.017436
-970,4,1.019413
-1020,5,1.022412
-1060,11,1.030406
-1000,7,1.034405
-1020,7,1.038403
-990,4,1.040402
-1040,7,1.044399
-1010,8,1.048396
-1050,10,1.106364
-1010,6,1.109362
-1050,10,1.114359
-1070,12,1.121355
-1000,5,1.124353
-1010,4,1.126352
-1060,9,1.130349
-980,5,1.133348
-1020,5,1.136346
-990,4,1.138345
-1030,8,1.142343
-1040,7,1.146341
-1000,5,1.149339
-980,5,1.152337
-1120,17,1.162332
-1010,6,1.166329
-1030,8,1.170326
-1010,6,1.173325
-1000,5,1.229293
-1040,7,1.23329
-980,5,1.236288
-1040,5,1.239286
-1010,6,1.242285
-1000,5,1.245283
-1010,8,1.250281
-980,5,1.253278
-1020,7,1.257276
-990,6,1.260274
-1040,5,1.263273
-1030,8,1.26727
-1060,13,1.275266
-1030,10,1.281262
-1050,8,1.286259
-1000,7,1.290257
-1060,9,1.294255
-1020,9,1.300252
-1020,9,1.358218
-1060,11,1.364215
-990,6,1.367213
-1030,6,1.370212
-990,6,1.374209
-1030,8,1.379206
-1010,8,1.383204
-1070,12,1.389201
-990,6,1.392199
-1010,4,1.395197
-1030,6,1.398195
-1000,7,1.402193
-1100,15,1.410188
-1060,13,1.419183
-1040,11,1.426179
-1060,11,1.484146
-980,5,1.487144
-980,5,1.490142
-1040,9,1.495139
-1080,13,1.502136
-980,5,1.505134
-1070,12,1.51213
-970,4,1.514128
-1080,15,1.524122
-990,6,1.52812
-970,4,1.531119
-1040,9,1.536116
-990,4,1.539114
-980,5,1.542112
-1060,11,1.548109
-1020,9,1.554105
-1030,8,1.610074
-1080,11,1.61607
-1050,8,1.620067
-1030,8,1.626064
-1040,11,1.63306
-1060,9,1.638057
-1020,7,1.642055
-1020,9,1.648051
-1040,9,1.653048
-1000,5,1.656047
-970,4,1.659045
-1030,8,1.663043
-1050,10,1.669039
-1100,15,1.677034
-1000,5,1.679034
-1040,9,1.736001
-1060,13,1.743996
-1030,8,1.748993
-1090,12,1.75499
-1030,6,1.758988
-1030,8,1.762985
-1060,11,1.769982
-1050,8,1.773979
-1000,5,1.776978
-1010,8,1.781975
-1010,6,1.785972
-970,4,1.787971
-1080,13,1.795967
-1040,7,1.799965
-980,5,1.802962
-1080,11,1.860929
-1070,12,1.867925
-1020,7,1.871922
-990,4,1.874921
-1060,9,1.878919
-1050,8,1.883916
-1020,7,1.886914
-1030,6,1.890912
-1290,32,1.905903
-1050,12,1.913899
-1090,14,1.921894
-1050,8,1.925891
-1010,6,1.929889
-1020,7,1.985857
-1070,10,1.990854
-1050,12,1.99885
-1010,6,2.002847
-990,6,2.006845
-990,4,2.008844
-1060,9,2.013841
-1040,7,2.017838
-1030,6,2.020837
-1020,5,2.023835
-990,4,2.025834
-1040,7,2.029832
-1030,8,2.034829
-970,4,2.036827
-1080,13,2.044823
-1030,10,2.050819
-1020,9,2.055817
-1090,12,2.113784
-1040,11,2.12078
-1050,8,2.124777
-990,4,2.127775
-990,4,2.129775
-1020,5,2.132773
-1040,5,2.135771
-1030,6,2.138769
-990,4,2.140768
-1030,8,2.145765
-990,4,2.147764
-1010,4,2.150762
-1030,8,2.15476
-1060,11,2.160756
-1040,7,2.164754
-1010,8,2.168752
-1050,8,2.173749
-1010,8,2.178746
-1040,9,2.236713
-970,4,2.239711
-1040,7,2.243709
-1040,9,2.247707
-1020,7,2.251704
-1020,7,2.255702
-1020,5,2.2587
-1050,10,2.263697
-1060,9,2.269694
-1040,9,2.274691
-1010,4,2.276689
-970,4,2.278688
-1080,13,2.287683
-1050,10,2.29268
-970,4,2.295678
-1030,8,2.299676
-1050,10,2.304673
-1080,11,2.36264
-990,6,2.366638
-1050,10,2.372635
-1090,14,2.38063
-1100,13,2.388626
-1010,4,2.390625
-1130,16,2.39862
-1130,14,2.404617
-1080,11,2.410613
-1060,9,2.416609
-1030,8,2.420608
-1040,5,2.422606
