#{"t_start": 1590688153.5110798, "env_id": "zhedLevel5-v0"}
r,l,t
-1110,14,0.945456
-990,4,0.947455
-1040,9,0.952452
-1000,7,0.95545
-1080,13,0.963445
-1010,6,0.966444
-1020,9,0.971441
-1050,10,0.976438
-1010,6,0.979436
-1000,5,0.982435
-1080,13,0.98943
-1040,9,0.994428
-1020,9,0.999425
-1150,20,1.198311
-1050,12,1.204307
-980,5,1.207305
-1030,6,1.210303
-1060,11,1.2163
-1010,6,1.219298
-1020,7,1.223296
-1010,4,1.226294
-1030,8,1.230292
-1030,8,1.235289
-1020,7,1.238287
-970,4,1.241286
-1000,5,1.244284
-1050,8,1.248281
-1000,5,1.25028
-1070,12,1.259275
-990,4,1.262273
-1050,6,1.265271
-1040,9,1.326236
-1000,5,1.328235
-970,4,1.331234
-1000,5,1.334233
-1080,11,1.339229
-1010,8,1.344226
-1030,6,1.348224
-1100,13,1.35522
-1070,8,1.359217
-1080,11,1.365215
-1030,8,1.370211
-1060,11,1.377207
-1000,5,1.380206
-1010,6,1.383204
-1050,8,1.388201
-1010,4,1.3902
-1020,7,1.394197
-1000,7,1.455163
-1020,7,1.45916
-1070,8,1.463158
-1060,13,1.471153
-1060,7,1.474151
-1050,10,1.480148
-1020,7,1.485146
-1040,5,1.487144
-1040,11,1.493141
-1010,6,1.497138
-1000,5,1.500137
-1070,8,1.504134
-1000,5,1.507132
-1020,7,1.51113
-1100,15,1.521125
-1040,7,1.524122
-980,5,1.583089
-1040,11,1.590085
-990,6,1.594082
-1050,8,1.59808
-1060,9,1.602078
-1010,6,1.606076
-1050,12,1.613071
-1060,9,1.618069
-1020,7,1.622066
-970,4,1.624065
-1030,8,1.629062
-1000,5,1.632061
-1070,14,1.639056
-1040,9,1.644053
-980,5,1.647052
-990,4,1.65005
-1030,10,1.712015
-1050,8,1.716012
-1010,6,1.72001
-970,4,1.722009
-990,6,1.726007
-1140,15,1.733002
-1010,6,1.736001
-1070,12,1.742997
-1050,8,1.746995
-1090,14,1.755989
-1000,5,1.758987
-1030,10,1.765983
-1030,8,1.770981
-990,4,1.77298
-1010,8,1.777977
-1060,11,1.783973
-1000,7,1.843939
-1050,8,1.847936
-1050,6,1.851934
-1040,9,1.855932
-1050,8,1.860929
-1010,6,1.863928
-1050,6,1.866925
-1050,10,1.872922
-1050,10,1.879918
-1050,12,1.887913
-1070,10,1.892911
-1030,8,1.897908
-1050,10,1.903904
-1010,8,1.908901
-1020,5,1.9119
-1070,14,1.975863
-1000,7,1.98086
-1000,5,1.983858
-1020,7,1.987855
-1030,10,1.994852
-1080,11,2.000848
-1000,7,2.005846
-1050,8,2.009843
-990,6,2.012841
-1000,7,2.017839
-1060,13,2.026834
-1000,5,2.029832
-1060,11,2.035828
-1000,7,2.040825
-1040,7,2.044823
-980,5,2.047821
-1090,14,2.109786
-1010,8,2.114783
-1020,7,2.118781
-1060,9,2.123778
-1050,10,2.128775
-1030,8,2.133772
-990,6,2.13777
-1080,11,2.143766
-1020,7,2.148763
-1030,6,2.151762
-1040,7,2.155759
-1030,10,2.161756
-980,5,2.164754
-1010,6,2.167752
-1010,8,2.173749
-990,4,2.175748
-1020,7,2.179745
-1010,6,2.237712
-1050,10,2.243708
-970,4,2.246706
-990,4,2.248705
-1070,8,2.252703
-1070,12,2.259699
-1020,5,2.262698
-1000,5,2.265696
-990,4,2.268694
-980,5,2.271692
-1050,10,2.277689
-1060,11,2.283685
-1120,15,2.291681
-1020,5,2.294679
-990,6,2.298677
-1030,8,2.302674
-990,4,2.304673
-1010,6,2.308671
-1030,6,2.366638
-1140,17,2.374633
-1000,5,2.377631
-1040,9,2.382629
-1050,10,2.388625
-1040,9,2.393622
-1040,9,2.398619
-1030,8,2.403617
-1030,6,2.406615
-1010,4,2.408614
-1010,6,2.412611
-1000,5,2.41461
-990,6,2.418608
-1030,8,2.422606
-1020,7,2.426603
-1040,11,2.4326
-1000,5,2.490566
-1040,9,2.495564
-990,4,2.497562
-1010,6,2.500561
-980,5,2.504559
-1040,11,2.511555
-1180,23,2.528545
-1060,11,2.535541
-1080,11,2.541538
-1050,8,2.545535
-1010,4,2.548534
-980,5,2.550532
-1100,13,2.557528
-1050,12,2.564524
-1050,8,2.62349
-1080,11,2.630486
-1000,5,2.633484
-1030,8,2.637482
-1090,12,2.643479
-990,4,2.645478
-1040,7,2.649476
-1010,4,2.651474
-1020,7,2.656471
-1050,6,2.65947
-1030,8,2.664467
-1040,7,2.668464
-1170,24,2.685454
-1040,11,2.69345
-1020,5,2.695449
-1110,14,2.757413
-1020,5,2.760411
-1080,9,2.764409
-1070,10,2.769406
-1010,8,2.774403
-1080,11,2.7794
-990,4,2.782399
-1050,10,2.787396
-1050,8,2.792393
-1050,8,2.79739
-1030,6,2.800388
-1040,11,2.807384
